solution,equation
1  ,1 x 1
2  ,1 x 2
3  ,1 x 3
4  ,1 x 4
4  ,2 x 2
5  ,1 x 5
6  ,1 x 6
6  ,2 x 3
7  ,1 x 7
8  ,1 x 8
8  ,2 x 4
9  ,1 x 9
9  ,3 x 3
10 ,1 x 10
10 ,2 x 5
11 ,1 x 11
12 ,1 x 12
12 ,2 x 6
12 ,3 x 4
14 ,2 x 7
15 ,3 x 5
16 ,2 x 8
16 ,4 x 4
18 ,2 x 9
18 ,3 x 6
20 ,2 x 10
20 ,4 x 5
21 ,3 x 7
22 ,2 x 11
24 ,2 x 12
24 ,3 x 8
24 ,4 x 6
25 ,5 x 5
27 ,3 x 9
28 ,4 x 7
30 ,3 x 10
30 ,5 x 6
32 ,4 x 8
33 ,3 x 11
35 ,5 x 7
36 ,3 x 12
36 ,4 x 9
36 ,6 x 6
40 ,4 x 10
40 ,5 x 8
42 ,6 x 7
44 ,4 x 11
45 ,5 x 9
48 ,4 x 12
48 ,6 x 8
49 ,7 x 7
50 ,5 x 10
54 ,6 x 9
55 ,5 x 11
56 ,7 x 8
60 ,5 x 12
60 ,6 x 10
63 ,7 x 9
64 ,8 x 8
66 ,6 x 11
70 ,7 x 10
72 ,6 x 12
72 ,8 x 9
77 ,7 x 11
80 ,8 x 10
81 ,9 x 9
84 ,7 x 12
88 ,8 x 11
90 ,9 x 10
96 ,8 x 12
99 ,9 x 11
100,10 x 10
108,9 x 12
110,10 x 11
120,10 x 12
121,11 x 11
132,11 x 12
144,12 x 12
